,Julio, ,,Presentación,Tiempo Reportado,,Cajas Producidas,Turno,Velocidad de linea,Tiempo de Producción,Tiempo Total Repotado,Tiempo por Repotar (min),Meta de Producción,Tiempo por Repotar (h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,O,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Línea TBA 1000 cc - Linea 1,,,,Línea TBA 500 cc - Linea 1,,,,Línea TPA 250 cc - Linea 2,,,,Línea TPA 200 cc - Linea 2,,,,TPA L3 200cc,,,,Línea TPA 200 cc - Linea 3,,,,Línea TPA 330 cc - Linea 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Calculo de Eficiencia Por Periodo de Analisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Calculo de Eficiencia Por Periodo de Analisis,,,,Calculo de Eficiencia Por Periodo de Analisis,,,,Calculo de Eficiencia Por Periodo de Analisis,,,,Calculo de Eficiencia Por Periodo de Analisis,,,,Calculo de Eficiencia Por Periodo de Analisis,,,,Calculo de Eficiencia Por Periodo de Analisis,,,,Calculo de Eficiencia Por Periodo de Analisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total de Cajas ,,61,,Total de Cajas ,,0,,Total de Cajas ,,0,,Total de Cajas ,,0,,Total de Cajas ,,0,,Total de Cajas ,,0,,Total de Cajas ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cajas retenidas,,0,,Cajas retenidas,,0,,Cajas retenidas,,0,,Cajas retenidas,,,,Cajas retenidas,,0,,Cajas retenidas,,0,,Cajas retenidas,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Velocidad de la Llenadora (env/h),,6.000,,Velocidad de la Llenadora (env/h),,6000,,Velocidad de la Llenadora (env/h),,7500,,Velocidad de la Llenadora (env/h),,7500,,Velocidad de la Llenadora (env/h),,7500,,Velocidad de la Llenadora (env/h),,7500,,Velocidad de la Llenadora (env/h),,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Meta (cjs),,10.500,,Meta (cjs),,0,,Meta (cjs),,0,,Meta (cjs),,0,,Meta (cjs),,0,,Meta (cjs),,0,,Meta (cjs),,15.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T. de Pradas no Programadas ,,"3,75",,T. de Pradas no Programadas ,,"0,0",,T. de Pradas no Programadas ,,"0,0",,T. de Pradas no Programadas ,,"0,0",,T. de Pradas no Programadas ,,"0,0",,T. de Pradas no Programadas ,,"0,0",,T. de Pradas no Programadas ,,"0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T. de Pradas no Programadas (SPE),,"0,00",,T. de Pradas no Programadas (SPE),,"0,0",,T. de Pradas no Programadas (SPE),,"0,0",,T. de Pradas no Programadas (SPE),,"0,0",,T. de Pradas no Programadas (SPE),,"0,0",,T. de Pradas no Programadas (SPE),,"0,0",,T. de Pradas no Programadas (SPE),,"0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
